Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"DR 118","DK MJy55;L 1502","§A [osur : st](u)(f)s : sun : §B [raisþi : st]ain : þonsi ¶ [auft : br](þ)(u)r : sun : sin :","§A Ôzurr, Stúfr's son, §B raised this stone in memory of Bróðir, his son.","Stenalt","Ørsted sn","Norddjurs","Rougsø hd, Nørrejylland","","","56.5089","10.2766"
"DR 119","DK MJy50","... ¶ þasi : run-... ... ...¶ki : lifa :","... these runes ... long live.","Spentrup 1","Spentrup sn","Randers","Nørhald hd, Nørrejylland","","","56.5401","10.0331"
"DR 120","DK MJy51","oskatla × risþi (×) -... ...-ls × sbaka × sun × stin × ¶ þonsi × ÷","Áskatla raised this stone ... ...-gísl, Spaki's son.","Spentrup 2","Spentrup sn","Randers","Nørhald hd, Nørrejylland","Randers museum","","56.5377","10.0618"
"DR 121","DK MJy47;L 2071",": þurgiR : tuka : sun : risþi : stin : þonnsi : iftiR : mula : bruþr : ¶ sin : harþo : kuþru : þin :","Þorgeirr Tóki's son raised this stone in memory of Múli, his brother, a very good þegn.","Asferg","Asferg sn","Randers","Nørhald hd, Nørrejylland","Nationalmuseet","","56.5534","9.89283"
"DR 122","DK MJy48;L 1500;L 1544",": þuriR : risþi : stin : þansi : iftiR : kunar : faþu¶r : sin :","Þórir raised this stone in memory of Gunnarr, his father.","Glenstrup 1","Glenstrup sn","Mariagerfjord","Nørhald hd, Nørrejylland","Nationalmuseet (2)","","56.584","9.85175"
"DR 123","DK MJy49","§A tuki : sati : stin : þonsi : iftiR : ufla : faþur : sin : harþa : ku¶þan §B : þign :","§A Tóki placed this stone in memory of Óflar/Ýfli, his father, a very good §B þegn.","Glenstrup 2","Glenstrup sn","Mariagerfjord","Nørhald hd, Nørrejylland","","","56.595537","9.813939"
"DR 124","DK MJy52","÷ hala ÷ risþi ÷ stin ÷ ¶ ÷ þonsi ÷ ¶ litu ÷ sun ÷ ¶ ift ÷ oslf ÷ bruþur ÷ sin ÷","Hella(?), Létta's(?) son, raised this stone in memory of Ásulfr/Ásleifr, his brother.","Vester Tørslev","Vester Tørslev sn","Mariagerfjord","Nørhald hd, Nørrejylland","","","56.6013","9.88392"
"DR 125","DK MJy46","tufi : kitu : sun : sati : ... ¶ ...i : filaka : sin : ¶ fustra : þurknus","Tófi Gedda's son placed ... ..., his partner, Þorgnýr's foster-son.","Dalbyover","Dalbyover sn","Randers","Gjerlev hd, Nørrejylland","","","56.6203","10.1951"
"DR 126","DK NJy73;L 1498","[þar-tin : rasþi : stin : þansi : aftir : aukuta ok i-al : faþur : -rt : kuþ- (r)(u)nar]","Þorsteinn raised this stone in memory of Eygoti and <i-al> father ... <kuþ-> runes.","Hobro 1","Hobro sn","Mariagerfjord","Onsild hd, Nørrejylland","","","56.6419","9.79507"
"DR 127","DK NJy74;L 1499",": þuriR : risþi : stin : þoasi : aufti : karl : hin : kuþoa : fRlaka : sin : harþ¶a : kuþoan : trRk :","Þórir raised this stone in memory of Karl the good, his partner, a very good valiant man.","Hobro 2","Hobro sn","Mariagerfjord","Onsild hd, Nørrejylland","Hobro Museum","","56.6369","9.79372"
"DR 128","DK NJy52","[fuþruf : þa : ko- · anal]","... ... ... ...","Øls","Øls sn","Mariagerfjord","Hindsted hd, Nørrejylland","","","56.6195","9.72157"
"DR 129","DK NJy49","...i : stain : þasi : at : tuka ¶ ...(n) : kuþan +","... this stone in memory of Tóki ... good.","Durup","Durup sn","Rebild","Gislum hd, Nørrejylland","Nøragergårds trädgård","","56.70353","9.630833"
"DR 130","DK NJy65","kali : sati : stin ¶ þonsi : ift : þursin ¶ faþur : sia : ha(þ)¶a : kuþon : þign :","Kali placed this stone in memory of Þorsteinn, his father, a very good þegn.","Giver","Giver sn","Vesthimmerland","Års hd, Nørrejylland","I vapenhuset.","","56.829415","9.582311"
"DR 131","DK NJy71;L 1504;L 1514","§A : osur : sati : stin : þonsi : aft : ual:tuka : trutin : ¶ × sin §B × stin : kuask : hirsi : stonta : loki : saR : ual:tuka × ¶ × uarþa : nafni","§A Ôzurr placed this stone in memory of Valtóki, his lord. §B The stone proclaims that it will long stand here; it will name Valtóki's cairn.","Års","Års sn","Vesthimmerland","Års hd, Nørrejylland","På kyrkogården.","","56.80486","9.513792"
"DR 132","DK NJy64","þurkal : sati : stia : aft : ... ... sun : faþur : sin :","Þorkell placed the stone in memory of ... ... son, his father.","Flejsborg","Flejsborg sn","Vesthimmerland","Års hd, Nørrejylland","I vapenhuset.","","56.8663","9.34227"
"DR 133","DK NJy70;L 1505;L 1515",": þau : muþ(r)kin : ¶ þurui : auk (:) uþinkau(r) : a(u)k : kuþmu¶ntr : þri- (:) --is(þ)- (:) kumbl : ¶ þausi : aift : ki-- : (h)in : huþska ¶ hon : uas : l(o)nt:mono : baistr : i : ton¶marku : auk : furstr :","Þyrvé and Óðinkárr and Guðmundr, mother and sons, these three raised these monuments in memory of ... the <huþska>, he was the first and best of landholders in Denmark.","Skivum","Skivum sn","Vesthimmerland","Års hd, Nørrejylland","","","56.8656","9.58928"
"DR 134","DK NJy67","osur lat:hirþiR : ¶ kukis : sun : raist ¶ runar þasi ¶ at os-uþ trunik","Ôzurr Estate-steward, Køgir's(?) son, carved these runes in memory of (his) lady Ásboð/Ásmóð.","Ravnkilde 1","Ravnkilde sn","Rebild","Års hd, Nørrejylland","","","56.755172","9.756434"
"DR 135","DK NJy68","× osgutr × tuguta × sun × risþi × stin : ift ¶ isgi : bruþur : sin","Ásgautr <tuguta>'s son raised the stone in memory of Ásgeirr, his brother.","Ravnkilde 2","Ravnkilde sn","Rebild","Års hd, Nørrejylland","I prästgårdens trädgård.","","0","0"
"DR 137","DK NJy54","k : nik :","... ...","Suldrup 1","Suldrup sn","Rebild","Hornum hd, Nørrejylland","","","56.8555","9.69097"
"DR 138","DK NJy55",": riuskR : risþi : s(t)... ...R : ufah : bruþu¶r : sin :","Ryskr raised the stone in memory of Ófeigr, his brother.","Suldrup 2","Suldrup sn","Rebild","Hornum hd, Nørrejylland","","","56.855488","9.691006"
"DR 139","DK NJy56","kst","...","Veggerby","Veggerby sn","Rebild","Hornum hd, Nørrejylland","Vest-Himmerlands Museum","","56.8713","9.64"
"DR 140","DK NJy51","... ...-untr : a : aisku : sina :","... Ônundr(?) in memory of his beloved/his wife(?).","Lyngby","Lyngby sn","Rebild","Hellum hd, Nørrejylland","I vapenhuset.","","56.84378","10.0433"
"DR 142","DK NJy66","asir (o)p...","Ôzurr ...","Vitskøl","Overlade sn (Bjørnsholm)","Vesthimmerland","Slet hd, Nørrejylland","Nationalmuseet (D. 5791)","","56.86912","9.213594"
"DR 143","DK NJy46;L 1533","§A : tuki : raisþi : stini : þoisi : auk : karþi : kub(l) (:) ¶ : þausi : aft aba : mak : sin : þaikn : kuþan : auk : §B : tufu : muþur : sino : þau : lika : baþi : i : þaum : hauki : ¶ abi : uni : tuka : fiaR : sins : aft : sik :","§A Tóki raised these stones and made these monuments in memory of Api/Ebbi, his kinsman-by-marriage, a good þegn, and §B Tófa, his mother. Both of them lie in this mound. Api/Ebbi granted Tóki his wealth after himself.","Gunderup 1","Gunderup sn","Aalborg","Fleskum hd, Nørrejylland","I vapenhuset.","","56.9164","10.0144"
"DR 144","DK NJy47;L 1532","austain ÷ sati ÷ stain ' þonsi ÷ abt ' osulb ' faþur ' sin '","Eysteinn placed this stone in memory of Ásulfr, his father.","Gunderup 2","Gunderup sn","Aalborg","Fleskum hd, Nørrejylland","I vapenhuset.","","56.9417","10.015"
"DR 145","DK NJy43;L 1534","(t)uki : sati : stin : þonsi : aft : ¶ : osta : sun : sin : lutaris : sun","Tóki(?), <lutaris>'s son, placed this stone in memory of Ásti, his son.","Ferslev 1","Ferslev sn","Aalborg","Fleskum hd, Nørrejylland","I vapenhuset.","","56.9513","9.89723"
"DR 146","DK NJy44","[... ...sti : runar : þ(e)...]","... carved runes ...","Ferslev 2","Ferslev sn","Aalborg","Fleskum hd, Nørrejylland","","","56.9519","9.8966"
"DR 147","DK NJy45;L 1531","[ysten : let : resa : sten : þena : for (:) siol × uþuakins : faþur : sins ×]","Eysteinn had this stone raised for the soul of Óþveginn, his father.","Gudum","Gudum sn","Aalborg","Fleskum hd, Nørrejylland","","","56.9498","10.0693"
"DR 148","DK NJy40","§A ÷ iakop ÷ uulæ ÷ skia^lm ÷ gurþæ ÷ ubi a^ra §B ibi o^kulus","§A Jakob commissioned, Skjalm made. Where the altar, §B there the eye.","Søndbjerg","Søndbjerg sn","Struer","Refs hd, Nørrejylland","","","56.6154","8.57267"
"DR 149","DK NJy41;L 1509","§A [þurkisl · sati · au(k) (·) ¶ suniR (·) §B lifa · i · staþ · þa¶nsi · §C stin ÷ uftiR · lifa]","§A Þorgísl and Leifi's sons placed §B at this place §C the stone in memory of Leifi.","Ydby","Ydby sn","Thisted","Refs hd, Nørrejylland","","","56.719338","8.392381"
"DR 150","DK NJy39","§A : þurmuþr : r-... ... §BP -- : þ(i)(s)... ¶ : iftiR ... ¶ ...þur : sin ¶ kuþr : ... §BQ -- : þ(i)(s)... ¶ : iftiR ... ¶ kuþr : ... ¶ ...þur : sin","§A Þormóðr raised ... §BP ... these in memory of ... his, a good ... §BQ ... these in memory of ... -góðr ... his father.","Hurup","Hurup sn","Thisted","Refs hd, Nørrejylland","","","56.754085","8.425804"
"DR 151","DK NJy37","thru:iþt :","Þorgautr.","Elsø","Elsø sn","Morsø","Morsø Sønder hd, Nørrejylland","Nationalmuseet (D. 997)","","56.8038","8.7911"
"DR 152","DK NJy36","hær ligr ÷ ¶ isulfr : þo¶r(g)ils : sun","Here lies Ísulfr Þorgísl's son.","Galtrup","Galtrup sn","Morsø","Morsø Nørre hd, Nørrejylland","","","56.836","8.71453"
"DR 153","DK NJy31","+ kir","Geirr.","Skyum","Skyum sn","Thisted","Hassing hd, Nørrejylland","","","56.8359","8.56678"
"DR 154","DK NJy35;L 1507","[(o)sa : sati : stin · þonsi : aftiR : tuku ----iR · -a : -ir · sin : kuþon · ¶ is uarþ : uikin · (o) : aufu:hiþi : ¶ · uk · ua:s : him(þ)iki (:) ¶ saga : iutis ·]","Ása placed this stone in memory of <tuku>, her good ... ... ... ; he was slaughtered (on) <aufu> heath and was <saga> <iuti>'s retainer.","Torup (Tvorup)","Vang sn","Thisted","Hundborg hd, Nørrejylland","","","56.9686","8.47713"
"DR 155","DK NJy33;L 1508","§A : osa : sati : stin : þonsi : iftiR : ¶ oumuta : uir (:) sin : is : uaR : §B himþiki : finulfs","§A Ása placed this stone in memory of Eymundi, her husband; he was §B Finnulfr's retainer.","Sjørind","Sjørring sn","Thisted","Hundborg hd, Nørrejylland","","","56.951495","8.59033"
"DR 156","DK NJy34","+ þorh ÷ amdis ÷ so^n ÷ huil^er ÷ hæræ ÷","Þórðr Amdir's son rests here.","Tisted","Thisted","Thisted","Hundborg hd, Nørrejylland","","","56.954663","8.689109"
"DR 157","DK NJy32;L 1838","...s... ¶ ku- ¶ mario : ... ¶ {THOR¶CHIL ¶ MERG¶RET}","... God, Mary ... Thorchil, Mergret","Hillerslev","Hillerslev sn","Thisted","Hillerslev hd, Nørrejylland","","","57.012262","8.730273"
"DR 158","DK NJy42","niklas","Nikulás.","Vesløs","Vesløs sn","Thisted","Vester Han hd, Nørrejylland","","","57.0238","8.95553"
"DR 160","DK NJy13","hufi ÷ sati ' stin ÷ ift ' bruþr ¶ sino þurlak auk ' hriþi","Hofi placed the stone in memory of his brothers Þorlakr and Hríðir/Hreiðir.","Jetsmark","Jetsmark sn","Jammerbugt","Hvetbo hd, Nørrejylland","I vapenhuset.","","57.228329","9.667469"
"DR 161","DK NJy11;L 1506","hufi ' þurkil ' þurbiurn ÷ satu ÷ stin ÷ runulfs ÷ hins ' raþ'sbaka ' ¶ ' faþur ' sins '","Hofi, Þorkell, Þorbjôrn placed the stone of Rúnulfr the Quick-Witted, their father.","Hune","Hune sn","Jammerbugt","Hvetbo hd, Nørrejylland","I tornrummet.","","57.271462","9.63709"
"DR 162","DK NJy9","me fesiþ ¶ nikotaus","Nikulás made me.","Ørum","Ørum sn","Brønderslev","Dronninglund hd, Nørrejylland","","","57.191","10.1041"
"DR 163","DK NJy8;L 1934","§A kirkia : er : kriste : kænt : ma^nom §B suen : su^n : germu^nta^r × til : misgu^nta¶r","§A The church is dedicated to Christ, for mercy towards men. §B Sveinn, Geirmundr's son.","Øster Brønderslev","Øster Brønderslev sn","Brønderslev","Børglum hd, Nørrejylland","Nationalmuseet (3)","","57.2483","9.9996"
"DR 164","DK NJy7;L 1611;L 1935","[...-u · stainiifak · faaþum · (e)iniRl(o)i(a)]","... ... ... ...","Vrejlev","Vrejlev sn","Hjørring","Børglum hd, Nørrejylland","","","57.362303","10.002561"
"DR 165","DK NJy1","§A mes·ter · t^ufi · me §B fesit · mit ·","§A Master Tófi made §B me ...","Børglum","Børglum sn","Hjørring","Børglum hd, Nørrejylland","Nationalmuseet (D. 1641)","","57.369681","9.802787"
"DR 167","DK NJy4","kuþ","God.","Lyngby","Lyngby sn","Hjørring","Børglum hd, Nørrejylland","","","57.412982","9.745859"
"DR 170","DK NJy3","mlbl(m)b mbl","... ...","Jerslev","Jerslev sn","Brønderslev","Børglum hd, Nørrejylland","Nationalmuseet (C. 11150)","","57.314355","10.134128"
"DR 184","DK Fyn41;L 1493;L 1835;L 1964","+ su^en : sa¶sær suæn : ligær hæunde : helge ¶ diakææ^n : ri¶stæ mek : mæstær : bo : gyo^rþæ mk ::","Sveinn Sassurr's son lies hereunder. Deacon Helgi carvedme, master Boi made me.","Bregninge","Bregninge sn","Svendborg","Sunds hd, Fyn","","","55.023551","10.610272"
"DR 185","DK Fyn42","astret : ikkrei : filius :","Ástráðr <ikkrei>'s son.","Egense","Egense sn","Svendborg","Sunds hd, Fyn","","","55.056514","10.52934"
"DR 187","DK Fyn47;L 1494","§A m- · srnes-sn : urn^u^kb(h) -a^si ¶ s(n)rþmi : itssih(k)i × li §B isifuþrlak · iseRa · li","§A ... ... ... ... ... ... ... §B ... ... ...","Sørup","Sørup sn","Svendborg","Sunds hd, Fyn","Nationalmuseet (988)","","55.075147","10.562396"
"DR 188","DK Fyn50","[uþ(u)friþR : last : oft : þiauburi-]","Guðfríðr/Guðfreðr raised in memory of Þjóðbjôrg.","Ørbæk","Ørbæk sn","Nyborg","Vindinge hd, Fyn","","","55.245048","10.654786"
"DR 189","DK Fyn48;L 2044","§A [... --(o)(t)R stAin ¶ sAsi sAti ru...] §B [... kArþi Auk ¶ ruul(f)(R) ...]","§A ... stands this stone, placed (by) Hróð-... §B ... made and Hróðulfr ...","Avnslev (Aunslev)","Avnslev sn (Aunslev)","Nyborg","Vindinge hd, Fyn","","","55.354286","10.712972"
"DR 190","DK Fyn8","rHuulfR sati stain nuRa ¶ kuþi aft kuþuMut bruþur¶sunu sin truknaþu --... ¶ ouaiR faþi","Hróðulfr, priest of the Nes-dwellers, placed the stone in memory of Guðmundr, his nephew. They drowned ... Ávarr coloured.","Helnæs","Helnæs sn","Assens","Båg hd, Fyn","Nationalmuseet (20017)","","55.149066","10.014126"
"DR 191","DK Fyn12","þauriAþ/þaurihþ",".../...","Sønderby","Sønderby sn","Assens","Båg hd, Fyn","","","55.229574","9.988185"
"DR 192","DK Fyn2;L 1486","Aft ruulf stotR ¶ [st]Ain sAsi is uAs nu¶Ra kuþi satu su[niR aftiR ¶ ouAiR faaþi]","In memory of Hróðulfr stands this stone; he was priest of the Nes-dwellers. Sons placed in memory. Ávarr coloured.","Flemløse 1","Flemløse sn","Assens","Båg hd, Fyn","Jægerspris","","55.250454","10.066684"
"DR 193","DK Fyn3","ruulfR sis","Hróðulfr Seat.","Flemløse 2","Flemløse sn","Assens","Båg hd, Fyn","Jægerspris","","55.239346","10.072945"
"DR 199","DK Fyn10","kotæo------...","...","Køng","Køng sn","Assens","Båg hd, Fyn","","","55.2611","10.1178"
"DR 200","DK Fyn13","æskil i karþi skar sa¶mson han tarab ¶ tiur","Áskell in Garðr cut Samson. He killed the animal.","Ørsted","Ørsted sn","Assens","Båg hd, Fyn","","","55.3325","10.0567"
"DR 201","DK Fyn29;L 1608","[... sun : þolfs : han : hanti : stin : þansi : a : ... ¶ ... sati : aft : faþur (:) -(k) : moþor : (t)on(o) ·]","... Þólfr's son, he acquired this stone in ... ... placed in memory of (his) father and (his) mother Tonna.","Allerup","Allerup sn","Odense","Åsum hd, Fyn","","","55.337674","10.471896"
"DR 202","DK Fyn30;L 1485","suti ' sati ' stain ' þansi ' aft ¶ ailaif ' bruþur ' sin ' sun ' oskaus ¶ rauþum'skialta","Sóti placed this stone in memory of Eileifr, his brother, Ásgautr Red-shield's son.","Rønninge","Rønninge sn","Kerteminde","Åsum hd, Fyn","","","55.344712","10.604594"
"DR 209","DK Fyn26;L 1489","§AP raknhiltr ' sa¶ti ' stain þonsi ' auft ¶ ala ' saulua kuþa ¶ uia l(i)þs haiþuiarþan þia¶kn §AQ raknhiltr ' sa¶ti ' stain þonsi ' auft ¶ ala ' saulua kuþa ¶ uial(i)þs haiþuiarþan þia¶kn §B ala ' suniR ' karþu ¶ kubl ' þausi ' aft ' faþur ¶ sin ' auk ' hons ' kuna ' auft ¶ uar ' sin ' in ' suti ' raist ' run¶aR ' þasi ' aft ' trutin ' sin ¶ þur ' uiki ' þasi ' runaR §C at ' rita ' sa ' uarþi ' is ' stain þansi ¶ ailti ' iþa aft ' onon ' traki","§AP Ragnhildr placed this stone in memory of Alli the Pale, priest of the sanctuary, honourable þegn of the retinue. §AQ Ragnhildr placed this stone in memory of Alli, priest of the Sølve, honourable þegn of the sanctuary-retinue. §B Alli's sons made these monuments in memory of their father, and his wife in memory of her husband. And Sóti carved these runes in memory of his lord. Þórr hallow these runes. §C A warlock be he who damages(?) this stone or drags it (to stand) in memory of another.","Glavendrup","Skamby sn","Nordfyn","Skam hd, Fyn","","","55.509661","10.292982"
"DR 210","DK Fyn14;L 1487","[... buru aftir au-ka]","... bridge in memory of <au-ka>","Ålbæk","?","Nordfyn","Lunde hd, Fyn","","","55.498476","10.376789"
"DR 211","DK Fyn25;L 1488","niout ÷ kubls ¶ þurmutR","Make good use of the monument! Þormundr.","Nørre Nærå","Nørre Nærå sn","Nordfyn","Skam hd, Fyn","","","55.572919","10.282418"
"DR 212","DK Syd11;L 1609","§A eskil : sulka : sun : let : res(a) ¶ sten : þena : eft : sialfan ¶ sik · e mun · stanta · meþ · sten ¶ lifiR · uitrint · su · iaR · uan · eskil §B kristr · hialbi · siol · hans ¶ aok · santa · migael §C toki · risti · runaR · e(f)(t)(i)(R) (·) -(o)ru · ¶ stiubmoþur · sina · kunu · koþa","§A Áskell, Súlki's son, had this stone raised in memory of himself. Ever will stand, while the stone lives, this memento, which Áskell produced. §B May Christ and Saint Michael help his soul. §C Tóki carvedthe runes in memory of Þóra, his stepmother, a good wife.","Tillitse","Tillitse sn","Lolland","Lollands Sønder hd, Lolland-Falster","","","54.766228","11.157124"
"DR 213","DK Syd9;L 1491",": ostarþr : rasþi : stin : þasi : ¶ : oftiR : iuta : faþur : ¶ : sin : harþa : ¶ : kuþan : þi¶akn :","Ástráðr raised this stone in memory of Júti, his father, a very good þegn.","Skovlænge","Skovlænge sn","Lolland","Lollands Sønder hd, Lolland-Falster","Maribo Museum","","54.816705","11.249374"
"DR 214","DK Syd7","¬","¬","Vesterborg","Vesterborg sn","Lolland","Lollands Nørre hd, Lolland-Falster","I kyrkan.","","54.8612","11.2704"
"DR 216","DK Syd4;L 1492","§A osraþr auk hiltu(-)-R ¶ raisþu stain þansi ¶ aft froþa fronti sin ¶ sin ian han uas þo foink ¶ uaiRa §B ian han uarþ tauþr o suo¶þiauþu auk uas furs ¶ i frikis ioþi þo aliR uikikaR","§A Ástráðr and Hildungr/Hildvígr/Hildulfr raised this stone in memory of Fraði/Freði, their kinsman. And he was then the terror(?) of men. §B And he died in Sweden and was thereafter the first(?) in(?) Friggir's(?) retinue(?) and then: all vikings.","Tirsted","Tirsted sn","Lolland","Fuglse hd, Lolland-Falster","Nationalmuseet","","54.7351","11.3453"
"DR 217","DK Syd3","§A þurui : kat : kauruan (:) ¶ stain : þansi : --(-) ¶ (k)(r)(u)(k) · §B uiar (:) sin : ian : han (:) uas ¶ -- alra · triu--... §C sutrsuia (:) au(k) (:) suþr[tana ·] ¶ kuaul : at : ha- af nur¶minum som §D baistr : han uas ¶ ... sutrsuia : (-)uk ·","§A Þyrvé got this stone made ... Krókr, §B her husband, and he was [then](?) the most resolute(?) of all §C Sunder-Swedes and South Danes. Torment ate/ to(?) him/ the hero, the best of Northmen. §D He was [there/ then](?) the Sunder-Swedes end / yoke(?).","Sædinge","Sædinge sn","Lolland","Fuglse hd, Lolland-Falster","Maribo Museum","","54.715414","11.437307"
"DR 218","DK Syd5",": austains : suniR : ¶ : raisþu : stain ¶ þansi : ¶ : aft : ¶ : sbarlu : bruþur : sin : ¶ : skibara : osbiarnaR : ¶ : nafs :","Eysteinn's sons raised this stone in memory of Sperla, their brother, Ásbjôrn Neb's seaman.","Tågerup","Tågerup sn","Lolland","Fuglse hd, Lolland-Falster","","","54.679181","11.451828"
"DR 219","DK Syd12;L 1490","(o)s(a) (:) karþi (:) kubl : ¶ þusi : aft : tuka · ¶ sun (:) (s)(i)n : auk (:) ¶ tuka : haklaks : ¶ sunaR ·","Ása made these monuments in memory of Tóki, her and Tóki Haklangsson's son.","Bregninge 1","Bregninge sn","Guldborgsund","Musse hd, Lolland-Falster","Nationalmuseet","","54.7052","11.688"
"DR 220","DK Syd2;L 1484","(-)-sur : sati : stin : ¶ þinsi : haft : osk(u)... ¶ bruþur : sin : ian : ... ¶ uarþ : tuþr : o : ku... ¶ þ^u^r : u^i^k^(i) : (r)^u^n^a^R (:) ...","Sassur placed this stone in memory of Ásgautr his brother, and [he] died on Gotland. May Þórr hallow [these] runes.","Sønder Kirkeby","Sønder Kirkeby sn","Guldborgsund","Falsters Sønder hd, Lolland-Falster","Nationalmuseet","","54.7704","11.9774"
"DR 221","DK Sj80;L 1469","§A karþi þiauþui(r) §B aft aþisl (u)(m)a(r)utrkau","§A Þjóðvérr(?)/Þjóðvé made §B in memory of Aðísl ...","Vordingborg","Vordingborg sn","Vordingborg","Bårse hd, Sjælland","Nationalmuseet (1)","","55.0064","11.906"
"DR 222","DK Sj75","io^r(d)an risti runu ra^þi þæn ær kan","Jórdan carved runes: interpret (them), he who can.","Allerslev 1","Allerslev sn","Vordingborg","Bårse hd, Sjælland","","","55.0812","12.0371"
"DR 223","DK Sj76","kRyrþ : risti : nafn : sit ¶ ø --^nyr-(-) : mæsu","Gyrðr carvedhis name on ... mass.","Allerslev 2","Allerslev sn","Vordingborg","Bårse hd, Sjælland","","","55.0812","12.0371"
"DR 224","DK Sj78","+ {BONDO FRISO ME FECIT ¶ ESGERVS RØTH ME FECIT : FIERI} ¶ fuþorkhniastblmR ???","{Bondo (the) Frisian made me, Esgervs Red had me made.} <fuþorkhniastblmR> ...","Bårse","Bårse sn","Vordingborg","Bårse hd, Sjælland","","","55.1271","11.9539"
"DR 225","DK Sj77;L 1475","þes...","...","Bårse","Bårse sn","Vordingborg","Bårse hd, Sjælland","Nationalmuseet (747)","","55.1284","11.9481"
"DR 226","DK Sj90","...ra(t)(i) : -... ¶ ...- : at : ma(i)... ¶ ...(u) : nafa : ... ¶ ...k : þika ...","... ... ... in memory of ... ... the Fist ... ... ... ...","Glumsø","Glumsø sn","Næstved","Tybjerg hd, Sjælland","Nationalmuseet (D 3989)","","55.354822","11.687416"
"DR 227","DK Sj91;L 1471","[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...]","... ... ... Sóti's son ... ... in memory of Þórðr, brother ...","Sandby 1","Sandby sn","Næstved","Tybjerg hd, Sjælland","","","55.379","11.7399"
"DR 228","DK Sj92;L 1472","§A askl : sati : st... ¶ ...asi : at : tufa : ¶ -(r)(u)þr : s(i)(n) : h--... §B ÷ in ÷ kru...","§A Áskell placed this stone in memory of Tófi, his brother ... §B and <kru...>","Sandby 2","Sandby sn","Næstved","Tybjerg hd, Sjælland","På kyrkogården.","","55.378827","11.739072"
"DR 229","DK Sj93;L 1470","§A sylfa : rest... ... ...i : sbalklusu : eyfti : susur : faþur ... ...(r)þi : bru : þisi : iki : ¶ þurils : brþur : sin : §B i mun · san... ¶ ...if · uitrik · susi · eR · uan · sil...","§A Sylfa raised ... ... Spalkløsa in memory of Sôssurr, (his) father [and] made this bridge in memory of Þorgisl, his brother. §B Ever will ... ... this memento, which Sylfa/himself produced.","Sandby 3","Sandby sn","Næstved","Tybjerg hd, Sjælland","Nationalmuseet","","55.379","11.7399"
"DR 230","DK Sj82;L 1468","§A raknhiltr ' sustiR ' ulfs ' sati ' stain ¶ þnnsi ' auk ' karþi ' hauk ' þonsi auft ¶ auk skaiþ ' þaisi ¶ kunulf ' uar sin ' klomulan man ¶ (s)un ' nairbis ' faiR ' uarþa ' nu futiR ' þoi batri §B sa uarþi ' at (') rita ' is ailti stain þonsi §C iþa hiþan traki","§A Ragnhildr, Ulfr's sister, placed this stone and made this mound, and this ship(-setting), in memory of her husband Gunnulfr, a clamorous man, Nerfir's son. Few will now be born better than him. §B A warlock(?) be he who damages(?) this stone §C or drags it (away) from here.","Tryggevælde","Karise sn","Faxe","Fakse hd, Sjælland","Nationalmuseet","","55.354","12.2964"
"DR 231","DK Sj84","(t)irað : r(i)st","Tíráðr carved.","Holtug","Holtug sn","Stevn","Stevns hd, Sjælland","I kyrkans södra yttermur.","","55.3449","12.4055"
"DR 233","DK Sj72","ulnoþ","Ulfnoð.","Eggeslevmagle","Eggeslevmagle sn","Slagelse","Vester Flakkebjerg hd, Sjælland","","","55.286194","11.349059"
"DR 235","DK Sj66","(k)(u)þ ... fori:si ¶ -brit : sial (·) ha^n (:) ga^rþi st(i)(n)(a) ¶ ... (k)iþuin : bu(r)- :","God ... take care of ...-bret's soul, he made the stones ... Eðvin(?) bridge(?).","Tårnborg 1","Tårnborg sn","Slagelse","Slagelse hd, Sjælland","Nationalmuseet","","55.3461","11.1971"
"DR 236","DK Sj67","kltiiæ(n)tn ¶ -...(m)","... ...","Tårnborg 2","Tårnborg sn","Slagelse","Slagelse hd, Sjælland","","","55.3604","11.1549"
"DR 237","DK Sj59;L 1473","eskil : sati : sina : þesi : eftiR : ystin : auk · fliR · bruþur · sin : sun : ystis : aþal:miki","Áskell placed these stones in memory of Eysteinn and (in memory of) Flir Chiff-banner(-bearer) / Good-sword, his (Áskell's) brother, Eysteinn's son.","Alsted","Alsted sn","Sorø","Alsted hd, Sjælland","I kyrkan.","","55.4045","11.6651"
"DR 238","DK Sj60","+: sasur : risþi : stin : an : karþi : bru :","Sassurr raised the stone and made the bridge.","Fjenneslev","Fjenneslev sn","Sorø","Alsted hd, Sjælland","På kyrkogården.","","55.433405","11.687506"
"DR 239","DK Sj46","§A þiauþui ÷ risþi ÷ stin þonsi ÷ aft uþinkaur ÷ ¶ fuþorkhniastbmlR ÷ niut ual kums : §B þmkiiissstttiiilll (:) iak sata ru--r| |ri(t) ¶ kuni armutR kru(b)------","§A Þjóðvé raised this stone in memory of Oðinkárr <fuþorkhniastbmlR> Make good use of the monument! §B Thistle, mistletoe, casket; I placed the runes rightly. Gunni, Arnmundr ...","Gørlev","Gørlev sn","Gørlev","Løve hd, Sjælland","I vapenhuset.","","55.538139","11.226477"
"DR 248","DK Sj35;L 1474","kun'uAlts| |stAin ' sunaR ' ruHalts ' þulaR ' o salHauku(m)","Gunnvaldr's stone, Hróaldr's son, reciter of Salhaugar.","Snoldelev","Snoldelev sn","Roskilde","Tune hd, Sjælland","Nationalmuseet (76)","","55.5719","12.119214"
